
{'out_of_rail_time': 0.20482055576768998, 'out_of_rail_velocity': 51.46336462004154, 'max_velocity': 352.8590256734335, 'apogee_time': 21.055577120549383, 'apogee_altitude': 2826.4665468749795, 'apogee_x': 7.717789815251357, 'apogee_y': -75.06722209492375, 'impact_time': 205.5011853210324, 'impact_x': 259.86387543459676, 'impact_y': 302.96480271338004, 'impact_velocity': -4.22384129229609, 'initial_static_margin': 1.6185374914902277, 'out_of_rail_static_margin': 1.6576602638556495, 'out_of_rail_stability_margin': 1.664317447478709, 'final_static_margin': 1.9546501264331746, 'number_of_events': 2, 'execution_time': 7.109375, 'drogue_triggerTime': 21.06, 'drogue_inflated_time': 21.06, 'drogue_inflated_velocity': 1.8814390458822832}
{'out_of_rail_time': 0.23161502954408983, 'out_of_rail_velocity': 45.52980355175008, 'max_velocity': 331.11806511309544, 'apogee_time': 20.556521117782708, 'apogee_altitude': 2676.712986822583, 'apogee_x': 179.19812278694704, 'apogee_y': -50.5771251568892, 'impact_time': 214.71366675009813, 'impact_x': 389.18841591040695, 'impact_y': 172.3574908449215, 'impact_velocity': -3.9150176192442334, 'initial_static_margin': 1.666929142449929, 'out_of_rail_static_margin': 1.7071090296410647, 'out_of_rail_stability_margin': 1.7124969869083477, 'final_static_margin': 2.053954799895661, 'number_of_events': 2, 'execution_time': 8.90625, 'drogue_triggerTime': 20.56, 'drogue_inflated_time': 20.56, 'drogue_inflated_velocity': 6.338381058698247}
{'out_of_rail_time': 0.21874729438066534, 'out_of_rail_velocity': 48.23647089312458, 'max_velocity': 334.2308246143403, 'apogee_time': 19.939528397287507, 'apogee_altitude': 2560.274417866906, 'apogee_x': 242.02833783293366, 'apogee_y': -37.97351184626695, 'impact_time': 212.38412725403577, 'impact_x': 438.8086260185107, 'impact_y': 165.34326172192883, 'impact_velocity': -3.8462421043201, 'initial_static_margin': 1.6017654222638096, 'out_of_rail_static_margin': 1.6419961813734985, 'out_of_rail_stability_margin': 1.6482288460463559, 'final_static_margin': 1.9694855441388488, 'number_of_events': 2, 'execution_time': 6.4375, 'drogue_triggerTime': 19.94, 'drogue_inflated_time': 19.94, 'drogue_inflated_velocity': 8.444962650696803}
{'out_of_rail_time': 0.22475710368406845, 'out_of_rail_velocity': 46.92763843586333, 'max_velocity': 331.6623771686785, 'apogee_time': 20.321450934450695, 'apogee_altitude': 2630.8959421697, 'apogee_x': 111.86300778731255, 'apogee_y': -49.188858605009976, 'impact_time': 208.0043277588826, 'impact_x': 716.6814711009409, 'impact_y': 273.57740977981217, 'impact_velocity': -3.9982525794643857, 'initial_static_margin': 1.540482003916626, 'out_of_rail_static_margin': 1.5790791871809604, 'out_of_rail_stability_margin': 1.585217242198112, 'final_static_margin': 1.9010998756135535, 'number_of_events': 2, 'execution_time': 6.53125, 'drogue_triggerTime': 20.330000000000002, 'drogue_inflated_time': 20.330000000000002, 'drogue_inflated_velocity': 4.877297682916963}

{'out_of_rail_time': 0.22094694077515434, 'out_of_rail_velocity': 47.76499404377759, 'max_velocity': 339.15200363436907, 'apogee_time': 20.912202379466393, 'apogee_altitude': 2762.357058871868, 'apogee_x': 85.15549974302759, 'apogee_y': -34.49048928127634, 'impact_time': 209.16947771830837, 'impact_x': 475.2354515691009, 'impact_y': 92.87234069249931, 'impact_velocity': -4.0398775874950275, 'initial_static_margin': 1.740067025094728, 'out_of_rail_static_margin': 1.7801789326354074, 'out_of_rail_stability_margin': 1.7862673761493548, 'final_static_margin': 2.1097870783939485, 'number_of_events': 2, 'execution_time': 8.078125, 'drogue_triggerTime': 20.92, 'drogue_inflated_time': 20.92, 'drogue_inflated_velocity': 3.5627998057109624}
{'out_of_rail_time': 0.20799025253753262, 'out_of_rail_velocity': 50.70087036939925, 'max_velocity': 346.37889794787736, 'apogee_time': 20.61383026132865, 'apogee_altitude': 2716.5228931128627, 'apogee_x': 105.96608772660406, 'apogee_y': -110.18996211274931, 'impact_time': 200.74518314282443, 'impact_x': 629.45971058028, 'impact_y': 459.0606779509901, 'impact_velocity': -4.0817161703384786, 'initial_static_margin': 1.6136862603718396, 'out_of_rail_static_margin': 1.6557852391404384, 'out_of_rail_stability_margin': 1.662402188943981, 'final_static_margin': 1.9786491672381956, 'number_of_events': 2, 'execution_time': 7.09375, 'drogue_triggerTime': 20.62, 'drogue_inflated_time': 20.62, 'drogue_inflated_velocity': 5.096111224460999}
{'out_of_rail_time': 0.18985801535445124, 'out_of_rail_velocity': 55.54927197339699, 'max_velocity': 355.39068086855906, 'apogee_time': 20.238039969426413, 'apogee_altitude': 2654.7211673216584, 'apogee_x': -114.26949157169061, 'apogee_y': -81.48626990169852, 'impact_time': 209.57023322737996, 'impact_x': 171.03881252644842, 'impact_y': 446.25420008913557, 'impact_velocity': -3.998758020354609, 'initial_static_margin': 1.6830279940724924, 'out_of_rail_static_margin': 1.7276401454833274, 'out_of_rail_stability_margin': 1.7357603149767569, 'final_static_margin': 2.0401937750794112, 'number_of_events': 2, 'execution_time': 6.84375, 'drogue_triggerTime': 20.240000000000002, 'drogue_inflated_time': 20.240000000000002, 'drogue_inflated_velocity': 3.7201811376103238}
{'out_of_rail_time': 0.19763619147646838, 'out_of_rail_velocity': 53.35907830960995, 'max_velocity': 349.9427994632992, 'apogee_time': 20.08291074819526, 'apogee_altitude': 2621.2246311593467, 'apogee_x': 90.6859378202966, 'apogee_y': -82.48956624422851, 'impact_time': 205.60213546708093, 'impact_x': 580.7046722736368, 'impact_y': 396.9216538852515, 'impact_velocity': -3.9992308905863734, 'initial_static_margin': 1.5663806091427208, 'out_of_rail_static_margin': 1.6087445589074336, 'out_of_rail_stability_margin': 1.6162662262441483, 'final_static_margin': 1.9192267950012323, 'number_of_events': 2, 'execution_time': 7.578125, 'drogue_triggerTime': 20.09, 'drogue_inflated_time': 20.09, 'drogue_inflated_velocity': 4.302108674531804}
{'out_of_rail_time': 0.2510315122941403, 'out_of_rail_velocity': 41.98762257208364, 'max_velocity': 326.38078413454537, 'apogee_time': 21.621390128805658, 'apogee_altitude': 2876.267245948298, 'apogee_x': 45.974510202510544, 'apogee_y': -129.8171111750806, 'impact_time': 207.29345645369682, 'impact_x': 374.5780302412907, 'impact_y': 362.3342475235703, 'impact_velocity': -4.228731812786373, 'initial_static_margin': 1.5921977947971717, 'out_of_rail_static_margin': 1.6253900915854176, 'out_of_rail_stability_margin': 1.6301768881734902, 'final_static_margin': 1.935921147740382, 'number_of_events': 2, 'execution_time': 5.3125, 'drogue_triggerTime': 21.63, 'drogue_inflated_time': 21.63, 'drogue_inflated_velocity': 3.870321232887284}
